Occupancy,Flood,Age
1.200,0.000,0.426
1.200,0.000,0.428
1.200,0.000,0.431
1.200,0.000,0.434
1.200,0.000,0.439
1.200,0.000,0.419
1.200,0.000,0.421
1.200,0.000,0.427
1.200,0.000,0.429
1.200,0.000,0.432
1.200,0.000,0.438
1.200,0.000,0.441
1.200,0.000,0.443
1.200,0.000,0.425
1.200,0.000,0.431
1.200,0.000,0.433
1.200,0.000,0.435
1.200,0.000,0.441
1.200,0.000,0.443
1.200,0.000,0.445
1.200,0.000,0.448
1.200,0.000,0.437
1.200,0.000,0.440
1.200,0.000,0.442
1.200,0.000,0.448
1.200,0.000,0.450
1.200,0.000,0.452
1.200,0.000,0.457
1.200,0.000,0.460
1.200,0.000,0.463
1.200,0.000,0.468
1.200,0.000,0.471
1.200,0.000,0.473
1.200,0.000,0.478
1.200,0.000,0.481
1.200,0.000,0.484
1.200,0.000,0.464
1.200,0.000,0.467
1.200,0.000,0.469
1.200,0.000,0.474
1.200,0.000,0.477
1.200,0.000,0.482
1.200,0.000,0.484
1.200,0.000,0.489
1.200,0.000,0.492
1.200,0.000,0.494
1.200,0.000,0.497
1.200,0.000,0.502
1.200,0.000,0.504
1.200,0.000,0.507
1.200,0.000,0.512
1.200,0.000,0.514
1.200,0.000,0.517
1.200,0.000,0.519
1.200,0.000,0.524
1.200,0.000,0.527
1.200,0.000,0.529
1.200,0.000,0.534
1.200,0.000,0.537
1.200,0.000,0.539
1.200,0.000,0.542
1.200,0.000,0.547
1.200,0.000,0.549
1.200,0.000,0.554
1.200,0.000,0.559
1.200,0.000,0.565
1.200,0.000,0.568
1.200,0.000,0.573
1.200,0.000,0.576
1.200,0.000,0.582
1.200,0.000,0.587
1.200,0.000,0.543
1.200,0.000,0.549
1.200,0.000,0.554
1.200,0.000,0.557
1.200,0.000,0.563
1.200,0.000,0.569
1.200,0.000,0.500
1.200,0.000,0.505
1.200,0.000,0.508
1.200,0.000,0.516
1.200,0.000,0.519
1.200,0.000,0.524
1.200,0.000,0.527
1.200,0.000,0.533
1.200,0.000,0.536
1.200,0.000,0.542
1.200,0.000,0.548
1.200,0.000,0.551
1.200,0.000,0.557
1.200,0.000,0.559
1.200,0.000,0.565
1.200,0.000,0.571
1.200,0.000,0.574
1.200,0.000,0.580
1.200,0.000,0.583
1.200,0.000,0.586
1.200,0.000,0.592
1.200,0.000,0.594
1.200,0.000,0.600
1.200,0.000,0.603
1.200,0.000,0.609
1.200,0.000,0.612
1.200,0.000,0.611
1.200,0.000,0.617
1.200,0.000,0.620
