Occupancy,Flood,Age
0.321,0.000,0.100
0.321,0.000,0.103
0.321,0.000,0.106
0.321,0.000,0.107
0.321,0.000,0.111
0.250,0.000,0.088
0.286,0.125,0.079
0.286,0.000,0.082
0.286,0.000,0.084
0.286,0.000,0.087
0.286,0.000,0.089
0.286,0.000,0.092
0.286,0.000,0.094
0.286,0.000,0.097
0.286,0.000,0.099
0.214,0.000,0.069
0.214,0.000,0.071
0.214,0.000,0.073
0.214,0.000,0.076
0.214,0.000,0.078
0.214,0.000,0.080
0.179,0.000,0.059
0.179,0.000,0.061
0.179,0.000,0.065
0.179,0.000,0.067
0.250,0.286,0.051
0.250,0.000,0.053
0.250,0.000,0.056
0.250,0.000,0.058
0.250,0.000,0.060
0.250,0.000,0.058
0.250,0.000,0.060
0.250,0.000,0.063
0.250,0.000,0.065
0.214,0.000,0.046
0.214,0.000,0.047
0.214,0.000,0.049
0.214,0.000,0.051
0.214,0.000,0.053
0.214,0.000,0.056
0.214,0.000,0.058
0.214,0.000,0.060
0.214,0.000,0.062
0.214,0.000,0.064
0.214,0.000,0.067
0.214,0.000,0.069
0.214,0.000,0.071
0.214,0.000,0.073
0.214,0.000,0.076
0.214,0.000,0.081
0.214,0.000,0.082
0.214,0.000,0.084
0.214,0.000,0.087
0.214,0.000,0.089
0.214,0.000,0.063
0.214,0.000,0.066
0.214,0.000,0.068
0.214,0.000,0.070
0.214,0.000,0.072
0.214,0.000,0.072
0.179,0.000,0.044
0.179,0.000,0.046
0.179,0.000,0.048
0.179,0.000,0.050
0.214,0.167,0.043
0.214,0.000,0.045
0.214,0.000,0.047
0.214,0.000,0.050
0.214,0.000,0.051
0.214,0.000,0.053
0.214,0.000,0.056
0.214,0.000,0.058
0.214,0.000,0.060
0.250,0.143,0.025
0.250,0.000,0.027
0.250,0.000,0.029
0.250,0.000,0.032
0.250,0.000,0.034
0.250,0.000,0.035
0.250,0.000,0.038
0.250,0.000,0.040
0.250,0.000,0.042
0.250,0.000,0.045
0.321,0.222,0.036
0.321,0.000,0.037
0.321,0.000,0.040
0.321,0.000,0.043
0.321,0.000,0.045
0.321,0.000,0.046
0.321,0.000,0.049
0.321,0.000,0.051
0.321,0.000,0.054
0.321,0.000,0.056
0.357,0.100,0.030
0.357,0.000,0.033
0.357,0.000,0.035
0.357,0.000,0.038
0.357,0.000,0.041
0.357,0.000,0.039
0.357,0.000,0.042
0.357,0.000,0.045
0.357,0.000,0.047
0.429,0.167,0.042
0.429,0.000,0.048
0.429,0.000,0.051
0.429,0.000,0.053
0.429,0.000,0.056
0.429,0.000,0.059
0.429,0.000,0.062
0.429,0.000,0.064
0.429,0.000,0.067
0.429,0.000,0.070
0.429,0.000,0.073
0.429,0.000,0.076
0.429,0.000,0.078
0.429,0.000,0.081
0.429,0.000,0.083
0.429,0.000,0.086
0.429,0.000,0.089
0.429,0.000,0.092
0.429,0.000,0.094
0.429,0.000,0.097
0.429,0.000,0.100
0.429,0.000,0.103
0.393,0.000,0.097
0.393,0.000,0.100
0.393,0.000,0.102
0.393,0.000,0.105
0.393,0.000,0.111
0.393,0.000,0.114
0.357,0.000,0.108
0.357,0.000,0.100
0.357,0.000,0.103
0.357,0.000,0.106
0.357,0.000,0.108
0.321,0.000,0.101
0.321,0.000,0.102
0.321,0.000,0.104
0.321,0.000,0.107
0.321,0.000,0.109
0.321,0.000,0.112
0.357,0.100,0.090
0.321,0.111,0.057
0.321,0.000,0.060
0.321,0.000,0.062
0.321,0.000,0.065
0.321,0.000,0.067
0.321,0.000,0.070
0.321,0.000,0.073
0.321,0.000,0.075
0.286,0.000,0.062
0.286,0.000,0.065
0.286,0.000,0.068
0.286,0.000,0.073
0.286,0.000,0.076
0.214,0.000,0.037
0.214,0.000,0.040
0.214,0.000,0.041
0.214,0.000,0.043
0.214,0.000,0.046
0.214,0.000,0.048
0.214,0.000,0.050
0.214,0.000,0.052
0.214,0.000,0.054
0.214,0.000,0.057
0.214,0.000,0.059
0.214,0.000,0.061
0.214,0.000,0.063
0.214,0.000,0.066
0.214,0.000,0.068
0.214,0.000,0.070
0.214,0.000,0.072
0.214,0.000,0.074
0.214,0.000,0.077
0.214,0.000,0.079
0.214,0.000,0.081
0.214,0.000,0.083
0.214,0.000,0.086
0.214,0.000,0.088
0.214,0.000,0.090
0.214,0.000,0.096
0.214,0.000,0.099
0.214,0.000,0.102
0.214,0.000,0.106
0.214,0.000,0.109
0.214,0.000,0.112
0.214,0.000,0.116
0.214,0.000,0.119
0.214,0.000,0.122
0.250,0.143,0.108
0.250,0.000,0.111
0.250,0.000,0.115
0.250,0.000,0.118
0.250,0.000,0.121
0.250,0.000,0.125
0.214,0.000,0.116
0.214,0.000,0.119
0.214,0.000,0.122
0.143,0.000,0.088
0.214,0.333,0.062
0.214,0.000,0.066
0.214,0.000,0.069
0.214,0.000,0.072
0.214,0.000,0.076
0.179,0.000,0.052
0.179,0.000,0.055
0.179,0.000,0.059
0.179,0.000,0.062
0.179,0.000,0.069
0.179,0.000,0.072
0.179,0.000,0.075
0.179,0.000,0.079
0.179,0.000,0.082
0.179,0.000,0.085
0.179,0.000,0.089
0.179,0.000,0.092
0.179,0.000,0.095
0.179,0.000,0.099
0.179,0.000,0.102
0.179,0.000,0.105
0.179,0.000,0.109
0.214,0.167,0.080
0.214,0.000,0.083
0.214,0.000,0.087
0.214,0.000,0.090
0.214,0.000,0.093
0.214,0.000,0.097
0.214,0.000,0.100
0.214,0.000,0.103
0.214,0.000,0.107
0.214,0.000,0.110
0.214,0.000,0.113
0.214,0.000,0.117
0.214,0.000,0.120
0.214,0.000,0.123
0.214,0.000,0.127
0.214,0.000,0.133
0.357,0.400,0.064
0.357,0.000,0.066
0.357,0.000,0.068
0.357,0.000,0.071
0.357,0.000,0.074
0.357,0.000,0.076
0.357,0.000,0.079
0.357,0.000,0.082
0.357,0.000,0.084
0.357,0.000,0.087
0.357,0.000,0.090
0.357,0.000,0.092
0.357,0.000,0.095
0.357,0.000,0.098
0.357,0.000,0.101
0.357,0.000,0.104
0.464,0.231,0.083
0.464,0.000,0.085
0.464,0.000,0.088
0.464,0.000,0.090
0.464,0.000,0.093
0.464,0.000,0.096
0.464,0.000,0.099
0.464,0.000,0.102
0.464,0.000,0.105
0.464,0.000,0.107
0.464,0.000,0.110
0.464,0.000,0.116
0.464,0.000,0.119
0.464,0.000,0.122
0.464,0.000,0.125
0.464,0.000,0.129
0.464,0.000,0.132
0.464,0.000,0.135
0.464,0.000,0.139
0.464,0.000,0.142
0.357,0.000,0.101
0.357,0.000,0.105
0.357,0.000,0.108
0.357,0.000,0.111
0.357,0.000,0.115
0.357,0.000,0.118
0.286,0.000,0.102
0.286,0.000,0.105
0.286,0.000,0.108
0.286,0.000,0.112
0.286,0.000,0.115
0.357,0.200,0.095
0.357,0.000,0.098
0.357,0.000,0.101
0.357,0.000,0.105
0.357,0.000,0.108
0.357,0.000,0.111
0.357,0.000,0.115
0.357,0.000,0.118
0.357,0.000,0.125
0.357,0.000,0.128
0.357,0.000,0.131
0.357,0.000,0.135
0.357,0.000,0.138
0.357,0.000,0.141
0.357,0.000,0.145
0.357,0.000,0.148
0.286,0.125,0.107
0.286,0.000,0.110
0.286,0.000,0.114
0.286,0.000,0.117
0.286,0.000,0.120
0.286,0.000,0.124
0.286,0.000,0.127
0.286,0.000,0.130
0.286,0.000,0.134
0.286,0.000,0.137
0.179,0.000,0.105
0.179,0.000,0.108
0.179,0.000,0.111
0.179,0.000,0.115
0.179,0.000,0.118
0.179,0.000,0.121
0.286,0.375,0.056
0.286,0.000,0.060
0.286,0.000,0.063
0.286,0.000,0.070
0.286,0.000,0.073
0.286,0.000,0.076
0.286,0.000,0.080
0.286,0.000,0.083
0.286,0.000,0.086
0.286,0.000,0.090
0.286,0.000,0.093
0.286,0.000,0.096
0.286,0.000,0.100
0.286,0.000,0.103
0.250,0.000,0.089
0.250,0.000,0.093
0.321,0.222,0.076
0.321,0.000,0.079
0.357,0.100,0.062
0.357,0.000,0.066
0.357,0.000,0.069
0.357,0.000,0.072
0.357,0.000,0.076
0.357,0.000,0.076
0.357,0.000,0.079
0.357,0.000,0.082
0.286,0.000,0.057
0.321,0.111,0.033
0.321,0.000,0.036
0.321,0.000,0.041
0.321,0.000,0.044
0.393,0.182,0.038
0.393,0.000,0.040
0.393,0.000,0.043
0.393,0.000,0.046
0.393,0.000,0.048
0.393,0.000,0.051
0.393,0.000,0.054
0.393,0.000,0.057
0.393,0.000,0.059
0.393,0.000,0.062
0.393,0.000,0.065
0.393,0.000,0.068
0.393,0.000,0.070
0.393,0.000,0.073
0.393,0.000,0.075
0.393,0.000,0.079
0.429,0.083,0.074
0.429,0.000,0.077
0.429,0.000,0.080
0.429,0.000,0.083
0.429,0.000,0.085
0.429,0.000,0.089
0.429,0.000,0.091
0.429,0.000,0.094
0.429,0.000,0.100
0.429,0.000,0.103
0.357,0.000,0.086
0.357,0.000,0.090
0.357,0.000,0.092
0.357,0.000,0.095
0.357,0.000,0.097
0.357,0.000,0.100
0.429,0.167,0.086
0.429,0.000,0.089
0.429,0.000,0.091
0.571,0.250,0.052
0.571,0.000,0.055
0.571,0.000,0.058
0.571,0.000,0.060
0.571,0.000,0.062
0.571,0.000,0.065
0.571,0.000,0.068
0.571,0.000,0.070
0.571,0.000,0.072
0.536,0.000,0.067
0.536,0.000,0.067
0.536,0.000,0.070
0.536,0.000,0.072
0.536,0.000,0.074
0.464,0.000,0.058
0.464,0.000,0.063
0.464,0.000,0.065
0.464,0.000,0.067
0.429,0.000,0.059
0.429,0.000,0.061
0.429,0.000,0.063
0.429,0.000,0.066
0.429,0.000,0.068
0.393,0.000,0.058
0.393,0.000,0.060
0.393,0.000,0.062
0.393,0.000,0.064
0.393,0.000,0.066
0.393,0.000,0.069
0.393,0.000,0.070
0.393,0.000,0.073
0.393,0.000,0.074
0.393,0.000,0.077
0.393,0.000,0.079
0.393,0.000,0.081
0.393,0.000,0.083
0.393,0.000,0.086
0.393,0.000,0.087
0.357,0.000,0.081
0.357,0.000,0.083
0.357,0.000,0.085
0.357,0.000,0.087
0.357,0.000,0.089
0.357,0.000,0.091
0.357,0.000,0.093
0.357,0.000,0.095
0.357,0.000,0.097
0.357,0.000,0.099
0.429,0.167,0.071
0.429,0.000,0.073
0.429,0.000,0.075
0.429,0.000,0.077
0.429,0.000,0.080
0.429,0.000,0.077
0.357,0.000,0.055
0.357,0.000,0.057
0.357,0.000,0.059
0.357,0.000,0.061
0.357,0.200,0.023
0.357,0.000,0.025
0.357,0.000,0.027
0.357,0.000,0.029
0.357,0.000,0.031
0.357,0.000,0.030
0.357,0.000,0.034
0.357,0.000,0.037
0.357,0.000,0.038
0.357,0.000,0.041
0.357,0.000,0.042
0.357,0.000,0.045
0.357,0.000,0.046
0.357,0.000,0.048
0.357,0.000,0.050
0.357,0.000,0.052
0.357,0.000,0.054
0.357,0.000,0.056
0.321,0.000,0.039
0.321,0.000,0.041
0.321,0.000,0.041
0.321,0.000,0.044
0.321,0.000,0.045
0.321,0.000,0.047
0.321,0.000,0.049
0.321,0.000,0.051
0.321,0.000,0.052
0.321,0.000,0.055
0.321,0.000,0.056
0.357,0.100,0.053
0.357,0.000,0.055
0.357,0.000,0.058
0.357,0.000,0.058
0.357,0.000,0.061
0.357,0.000,0.066
0.357,0.000,0.066
0.357,0.000,0.069
0.357,0.000,0.070
0.357,0.000,0.073
0.357,0.000,0.074
0.357,0.000,0.076
0.357,0.000,0.078
0.357,0.000,0.081
0.357,0.000,0.082
0.357,0.000,0.085
0.357,0.000,0.086
0.357,0.000,0.089
0.357,0.000,0.092
0.393,0.091,0.085
0.393,0.000,0.086
0.393,0.000,0.089
0.393,0.000,0.091
0.393,0.000,0.093
0.286,0.000,0.055
0.286,0.000,0.058
0.286,0.000,0.059
0.286,0.000,0.061
0.286,0.000,0.062
0.286,0.000,0.042
0.286,0.000,0.043
0.286,0.000,0.045
0.286,0.000,0.046
0.286,0.000,0.052
0.286,0.000,0.052
0.286,0.000,0.054
0.286,0.000,0.055
0.286,0.000,0.058
0.250,0.000,0.036
