State_Index,Mac_Bin,Flood_Bin,Age_Bin,Mac_Range,Flood_Range,Age_Range,Q_EVICT,Q_INC_AGE,Q_DEC_AGE,Q_REBALANCE,Best_Action
101,1,4,5,0.12-0.25,0.50-0.62,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
102,1,4,6,0.12-0.25,0.50-0.62,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
103,1,4,7,0.12-0.25,0.50-0.62,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
104,1,5,0,0.12-0.25,0.62-0.75,0.00-0.12,0.0,0.0,0.0,0.0,EVICT
105,1,5,1,0.12-0.25,0.62-0.75,0.12-0.25,0.0,0.0,0.0,0.0,EVICT
106,1,5,2,0.12-0.25,0.62-0.75,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
107,1,5,3,0.12-0.25,0.62-0.75,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
108,1,5,4,0.12-0.25,0.62-0.75,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
109,1,5,5,0.12-0.25,0.62-0.75,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
110,1,5,6,0.12-0.25,0.62-0.75,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
111,1,5,7,0.12-0.25,0.62-0.75,0.88-1.00,0.0,0.0,0.0,0.0,EVICT
112,1,6,0,0.12-0.25,0.75-0.88,0.00-0.12,0.0,0.0,0.0,0.0,EVICT
113,1,6,1,0.12-0.25,0.75-0.88,0.12-0.25,0.0,0.0,0.0,0.0,EVICT
114,1,6,2,0.12-0.25,0.75-0.88,0.25-0.38,0.0,0.0,0.0,0.0,EVICT
115,1,6,3,0.12-0.25,0.75-0.88,0.38-0.50,0.0,0.0,0.0,0.0,EVICT
116,1,6,4,0.12-0.25,0.75-0.88,0.50-0.62,0.0,0.0,0.0,0.0,EVICT
117,1,6,5,0.12-0.25,0.75-0.88,0.62-0.75,0.0,0.0,0.0,0.0,EVICT
118,1,6,6,0.12-0.25,0.75-0.88,0.75-0.88,0.0,0.0,0.0,0.0,EVICT
